op,shop,productId,name,size,qty,destination,basis
return,marathon-pe,p1778141471990,"Air Jordan 1 Mid Light Smoke Grey",6,1,hub2,holds-stock
return,marathon-pe,p1778141599422,"Air Jordan 1 Retro High OG Gore-Tex Olive",10,1,hub2,holds-stock
return,marathon-pe,p1778142478269,"Air Jordan 1 Retro High OG Dark Mocha",9,1,hub2,holds-stock
return,marathon-pe,p1778142726489,"Adidas Lightweight Circuit Grey",5,1,hub2,holds-stock
return,marathon-pe,p1778142775652,"Adidas Lightweight Circuit White Pink",6,1,hub2,holds-stock
return,marathon-pe,p1778142815027,"Air Jordan 13 White Black Red",7,1,hub2,holds-stock
return,marathon-pe,p1778142815027,"Air Jordan 13 White Black Red",8,1,hub2,holds-stock
return,marathon-pe,p1778142930182,"Air Jordan 1 High OG Lost And Found",11,1,hub2,holds-stock
return,marathon-pe,p1778142938478,"Adidas Samba Off-White",5,2,hub2,holds-stock
return,marathon-pe,p1778143170334,"Air Jordan 4 Retro Black",8,1,hub2,hubs-field
return,marathon-pe,p1778143498318,"Air Jordan 4 Retro Cozy Girl",8,1,hub2,holds-stock
return,marathon-pe,p1778143859326,"Adidas x Wales Bonner Samba Studded Pack Cream",5,1,hub2,holds-stock
return,marathon-pe,p1778143962193,"Adidas Samba White Halo Blue",6,1,hub2,holds-stock
return,marathon-pe,p1778144674359,"Adidas Samba White Green",6,1,hub2,holds-stock
return,marathon-pe,p1778146601504,"Amiri Ma Runner Brown",8,1,hub2,holds-stock
return,marathon-pe,p1778147881161,"Converse Chuck Taylor All Star Black",8,1,hub1,holds-stock
return,marathon-pe,p1778149746060,"Diesel Big D Slide Black Red",10,2,hub1,hubs-field
return,marathon-pe,p1778149818423,"Diesel Big D Slide Navy White",6,2,hub1,holds-stock
return,marathon-pe,p1778150117764,"Diesel Slide Red",11,1,hub1,holds-stock
return,marathon-pe,p1778150176345,"Diesel Slide Black/Red",9,1,hub1,holds-stock
return,marathon-pe,p1778150234766,"Diesel Slide White Red",7,1,hub1,holds-stock
return,marathon-pe,p1778150348051,"Diesel Slide Black Red",7,1,hub1,holds-stock
return,marathon-pe,p1778150396547,"Diesel Slide Red White",6,1,hub1,holds-stock
return,marathon-pe,p1778150396547,"Diesel Slide Red White",9,1,hub1,holds-stock
return,marathon-pe,p1778150447748,"Diesel Slide Black White",7,1,hub1,holds-stock
return,marathon-pe,p1778234008406,"Dior Walk'n'Dior Blue",4,1,hub2,holds-stock
return,marathon-pe,p1778234008406,"Dior Walk'n'Dior Blue",5_5,2,hub2,holds-stock
return,marathon-pe,p1778235909661,"Replay Field Speed Black Red",11,1,hub2,holds-stock
return,marathon-pe,p1778241852919,"Karl Lagerfeld Kapri Ikonik Full Black",6,6,hub2,holds-stock
return,marathon-pe,p1778241852919,"Karl Lagerfeld Kapri Ikonik Full Black",7,7,hub2,holds-stock
return,marathon-pe,p1778241852919,"Karl Lagerfeld Kapri Ikonik Full Black",8,5,hub2,holds-stock
return,marathon-pe,p1778241852919,"Karl Lagerfeld Kapri Ikonik Full Black",9,1,hub2,holds-stock
return,marathon-pe,p1778241852919,"Karl Lagerfeld Kapri Ikonik Full Black",10,5,hub2,holds-stock
return,marathon-pe,p1778241852919,"Karl Lagerfeld Kapri Ikonik Full Black",11,1,hub2,holds-stock
return,marathon-pe,p1778242243733,"Karl Lagerfeld Kapri Ikonik Black",8,9,hub2,deepest-holding
return,marathon-pe,p1778242894055,"Karl Lagerfeld Ikonik Kapri Low-Top Charcoal Gray",6,1,hub2,holds-stock
return,marathon-pe,p1778242894055,"Karl Lagerfeld Ikonik Kapri Low-Top Charcoal Gray",9,1,hub2,holds-stock
return,marathon-pe,p1778242924460,"Karl Lagerfeld Kapri Ikonik White",7,4,hub2,holds-stock
return,marathon-pe,p1778242924460,"Karl Lagerfeld Kapri Ikonik White",8,3,hub2,holds-stock
return,marathon-pe,p1778242924460,"Karl Lagerfeld Kapri Ikonik White",10,2,hub2,holds-stock
return,marathon-pe,p1778482596311,"Lacoste Elite Active Black",9,1,hub1,holds-stock
return,marathon-pe,p1778659886480,"Lacoste T-Clip Black White",10,2,hub1,holds-stock
return,marathon-pe,p1778659975666,"Lacoste T-Clip Winter Outdoor Black",9,3,hub1,holds-stock
return,marathon-pe,p1778680483192,"Air Jordan 4 Retro Fear",4,1,hub2,holds-stock
return,marathon-pe,p1778831450400,"Lacoste Slip-On Powder Blue",10,1,hub1,holds-stock
return,marathon-pe,p1778841820730,"Nike Air Max Portal Canyon Pink",6,1,hub1,holds-stock
return,marathon-pe,p1778844810609,"Nike Air Force 1 Anthracite Grey And Black",7,1,hub1,holds-stock
return,marathon-pe,p1778915466053,"Lacoste Powercourt White/Green",7,1,hub1,holds-stock
return,marathon-pe,p1778915544987,"Lacoste Powercourt Navy Blue",8,1,hub1,holds-stock
return,marathon-pe,p1778915598155,"Lacoste L-Guard Beige Brown",7,1,hub1,holds-stock
return,marathon-pe,p1778916464923,"Nike Air Force 1 Cream Navy",7,1,hub1,holds-stock
return,marathon-pe,p1778917183049,"Lacoste Gripshot Mid Black",8,1,hub1,holds-stock
return,marathon-pe,p1779185587062,"Lacoste Gripshot Mid Green",6,1,hub1,hubs-field
return,marathon-pe,p1779527525476,"Lacoste L-Guard Breaker Light Grey Orange",7,1,hub1,hubs-field
return,marathon-pe,p1779527600206,"Air Jordan 1 Retro High Electro Orange",6,1,hub2,holds-stock
return,marathon-pe,p1779543774441,"Lacoste T-Clip Boot Black",8,1,hub1,holds-stock
return,marathon-pe,p1779610187496,"Lacoste T-Clip Winter Outdoor Green Black",11,1,hub1,hubs-field
return,marathon-pe,p1779610491749,"Lacoste Marice Dark Blue Canvas",8,1,hub1,holds-stock
return,marathon-pe,p1779610819310,"Nike Air Max Plus White Deep Green",5_5,4,hub1,holds-stock
return,marathon-pe,p1779611006445,"Lacoste Lerond Black",7,3,hub1,holds-stock
return,marathon-pe,p1779611006445,"Lacoste Lerond Black",10,1,hub1,holds-stock
return,marathon-pe,p1779611075538,"Lacoste Lerond Grey White",10,1,hub1,holds-stock
return,marathon-pe,p1779783713617,"Nike Air Force 1 White",6,1,hub1,hubs-field
return,marathon-pe,p1780131767763,"Air Jordan 1 Retro High OG Chicago Red",7,1,hub2,holds-stock
return,marathon-pe,p1780735692089,"Nike Air Force 1 Brooklyn Off White",4,1,hub1,holds-stock
return,marathon-pe,p1780989505914,"New Balance 9060 Brown",10,1,hub2,holds-stock
return,marathon-pe,p1781514344358,"Nike Air Max 1 Cream Orange Speckle",8,1,hub1,hubs-field
return,marathon-pe,p1781530128019,"Nike Air Force 1 Low Ducks Of A Feather",8,1,hub1,holds-stock
return,marathon-pe,p1781530290392,"Nike Air Force 1 Tan Bling",8,1,hub1,holds-stock
return,marathon-pe,p1781543207153,"The North Face Verto Alpha Blue Black",7,1,hub2,holds-stock
return,marathon-pe,p1781636039444,"Nike Shox TL Full Black",7,1,hub1,holds-stock
return,marathon-pe,p1781636114748,"Nike Shox White",4,1,hub1,holds-stock
return,marathon-pe,p1781636210379,"Nike Shox TL Brown Black",3,1,hub1,holds-stock
return,marathon-pe,p1781636210379,"Nike Shox TL Brown Black",6,1,hub1,holds-stock
return,marathon-pe,p1781646731392,"Nike Mind Slide Grey",6,1,hub1,holds-stock
return,marathon-pe,p1781646861641,"Nike Mind 002 Black",6,2,hub1,holds-stock
return,marathon-pe,p1781646861641,"Nike Mind 002 Black",7,2,hub1,holds-stock
return,marathon-pe,p1781646983315,"Nike Mind 002 Brown",4,1,hub1,holds-stock
return,marathon-pe,p1781646983315,"Nike Mind 002 Brown",6,1,hub1,holds-stock
return,marathon-pe,p1781647052738,"Nike Mind 002 White Orange",5,1,hub1,holds-stock
return,marathon-pe,p1781647052738,"Nike Mind 002 White Orange",9,1,hub1,holds-stock
return,marathon-pe,p1781648199935,"Nike SB Dunk Low Black White",3,1,hub1,holds-stock
return,marathon-pe,p1781648199935,"Nike SB Dunk Low Black White",4,2,hub1,holds-stock
return,marathon-pe,p1781648850816,"Nike SB Dunk Low SE Easter Candy",4,1,hub1,holds-stock
return,marathon-pe,p1781649460930,"Nike SB Dunk Low Jarritos",5,1,hub1,holds-stock
return,marathon-pe,p1781787688437,"Air Jordan 1 Low Black White",6,1,hub2,hubs-field
return,marathon-pe,p1782003994710,"Nike Air Max Plus Black",5,1,hub1,hubs-field
return,marathon-pe,p1782732556542,"Air jordan 1 black and white ",6,1,hub2,hubs-field
return,marathon-pe,p1783338648850,"Air Jordan 1 Retro high og black toe reimagied black red & is the white ",6,1,hub2,holds-stock
return,marathon-pe,p1783338648850,"Air Jordan 1 Retro high og black toe reimagied black red & is the white ",8,1,hub2,holds-stock
return,marathon-pe,p1783338648850,"Air Jordan 1 Retro high og black toe reimagied black red & is the white ",10,1,hub2,holds-stock
return,marathon-pe,p1783339503559,"Air portal ",6,1,hub1,hubs-field
return,marathon-pe,p1783339932326,"Nike Tn brown ",5,1,hub1,hubs-field
return,marathon-pe,p1783339932326,"Nike Tn brown ",5_5,1,hub1,hubs-field
return,marathon-pe,p1783686677972,"Lululemon pink with cream",4,1,hub1,holds-stock
return,marathon-pe,p1783756063446,"Lacoste green ",6,1,hub1,hubs-field
return,marathon-pe,p1784212842924,"On cloud black white suede ",7,1,hub1,holds-stock
return,marathon-pe,p1784298749623,"Air force blue ",8,1,hub1,holds-stock
return,marathon-pe,p1784551107750,"Air force one off white blue",7,2,hub1,holds-stock
return,marathon-pe,p1784633513949,"Nike airforce white 1",7,1,hub1,holds-stock
return,marathon-pe,p1784633513949,"Nike airforce white 1",9,1,hub1,holds-stock
return,marathon-pe,p1784636653248,"Nike zoom black ",8,1,hub1,holds-stock
return,marathon-pe,p1784636653248,"Nike zoom black ",9,2,hub1,holds-stock
return,marathon-pe,p1784636653248,"Nike zoom black ",10,1,hub1,holds-stock
return,marathon-pe,p1784637548157,"Nike zoom red ",8,1,hub1,holds-stock
return,marathon-pe,p1784642393629,"Nike zoom white end Grey ",6,1,hub1,holds-stock
return,marathon-pe,p1784642393629,"Nike zoom white end Grey ",7,1,hub1,holds-stock
return,marathon-pe,p1784644950734,"Air Nike zoom rival fly white end purple",11,1,hub1,holds-stock
return,marathon-pe,p1784645806403,"Air Nike zoom rival fly",6,1,hub1,holds-stock
return,marathon-pe,p1784718275050,"Nike Air force cream white with grey",7,1,hub1,holds-stock
return,marathon-pe,p1784719581830,"Air Jordan 4 black end white cut",8,1,hub2,holds-stock
return,marathon-pe,p1784728456861,"Lacoste spinor dark brown ",8,1,hub1,holds-stock
return,marathon-pe,p1784985572692,"Tiger brown ",8,1,hub1,hubs-field
return,trophy,p1777896054649,"Nike Air Force 1 Low CPFM White Red Flea",6,2,hub1,holds-stock
return,trophy,p1777898350156,"Nike Air Zoom RTFKT White Gray",6,1,hub1,holds-stock
return,trophy,p1777898520632,"Nike Air Force 1 Wild Yellow",8,1,hub1,holds-stock
return,trophy,p1777898570372,"Nike Air Force 1 Wild Green",7,2,hub1,holds-stock
return,trophy,p1777899208507,"Nike Zoom Vomero Roam Mint Green",7,1,hub1,holds-stock
return,trophy,p1777901852685,"Air Jordan 4 Retro Black Cat",9,1,hub2,holds-stock
return,trophy,p1777902440854,"Air Jordan 4 Retro Paris Saint-Germain",5_5,1,hub2,holds-stock
return,trophy,p1777971607774,"On Cloudhorizon 2 Green",7,1,hub1,holds-stock
return,trophy,p1777978205682,"Lacoste Audyssol Full Black",7,1,hub1,holds-stock
return,trophy,p1777978229912,"Nike Air Force 1 Black Swoosh Outline White",3,1,hub1,hubs-field
return,trophy,p1777979582784,"Lacoste Court Cage White Yellow Green",8,1,hub1,holds-stock
return,trophy,p1777979694047,"Nike Air Force 1 White",5,1,hub1,holds-stock
return,trophy,p1777979694047,"Nike Air Force 1 White",6,2,hub1,holds-stock
return,trophy,p1777990491627,"Timberland Motion 6 Mid Wheat",8,1,hub1,holds-stock
return,trophy,p1777990491627,"Timberland Motion 6 Mid Wheat",9,1,hub1,holds-stock
return,trophy,p1778139909700,"Air Jordan 1 SE Craft Tech Grey",9,1,hub2,holds-stock
return,trophy,p1778144514094,"Diesel S-Ukiyo V2 Low White",9,1,hub2,holds-stock
return,trophy,p1778234008406,"Dior Walk'n'Dior Blue",3,1,hub2,holds-stock
return,trophy,p1778236132671,"Replay Field Speed Black Orange",8,1,hub2,holds-stock
return,trophy,p1778241170410,"Dolce & Gabbana Portofino Charcoal",9,1,hub2,holds-stock
return,trophy,p1778241578343,"Karl Lagerfeld Kapri Kushion Signia Shine Black",9,1,hub2,holds-stock
return,trophy,p1778241758995,"Karl Lagerfeld Kapri Stud Zip Black Gold",7,1,hub2,holds-stock
return,trophy,p1778241758995,"Karl Lagerfeld Kapri Stud Zip Black Gold",8,1,hub2,holds-stock
return,trophy,p1778244302666,"Versace Slide Black Gold Greca",11,1,hub2,holds-stock
return,trophy,p1778857613279,"Alexander McQueen Oversized Sneaker Black",9,1,hub2,hubs-field
return,trophy,p1780740402191,"Nike Air Force 1 Black",6,1,hub1,holds-stock
return,trophy,p1783428479000,"Givenchy black ",8,1,hub2,hubs-field
return,trophy,p1783501500520,"Brunello cucinelli sandla Grey ",10,1,hub2,holds-stock
return,trophy,p1784632249752,"Timberland black white and green suede ",7,2,hub1,holds-stock
return,trophy,p1784632249752,"Timberland black white and green suede ",8,2,hub1,holds-stock
return,trophy,p1784632249752,"Timberland black white and green suede ",9,2,hub1,holds-stock
return,trophy,p1784632249752,"Timberland black white and green suede ",10,1,hub1,holds-stock
return,trophy,p1785233859974,"Karl slides",9,1,hub1,hubs-field
heal,marathon-pe,p1777895620932,"Nike Air Force 1 Cream Black Grey",11,-1,-,negative-to-zero
heal,marathon-pe,p1777895620932,"Nike Air Force 1 Cream Black Grey",_,-2,-,negative-to-zero
heal,marathon-pe,p1777896117122,"Nike Air Force 1 Low Cactus Plant Flea Market White",_,-1,-,negative-to-zero
heal,marathon-pe,p1777896385209,"A Bathing Ape Bape Sta Low Shark Black",10,-1,-,negative-to-zero
heal,marathon-pe,p1777896728823,"Nike Air Force 1 Bape Swoosh Blue Camo",_,-1,-,negative-to-zero
heal,marathon-pe,p1777896804543,"Nike Air Force 1 Cool Grey",_,-2,-,negative-to-zero
heal,marathon-pe,p1777896950572,"Nike Air Force 1 Black And Crimson",_,-1,-,negative-to-zero
heal,marathon-pe,p1777897007208,"Nike Air Force 1 Low Drake NOCTA Certified Lover Boy Palest Purple",7,-1,-,negative-to-zero
heal,marathon-pe,p1777897047939,"Nike Air Force 1 Low Certified Lover Boy Yellow",_,-1,-,negative-to-zero
heal,marathon-pe,p1777897161827,"Nike Air Max Zoom BB Black",7,-1,-,negative-to-zero
heal,marathon-pe,p1777897161827,"Nike Air Max Zoom BB Black",9,-1,-,negative-to-zero
heal,marathon-pe,p1777897161827,"Nike Air Max Zoom BB Black",10,-1,-,negative-to-zero
heal,marathon-pe,p1777897427900,"Nike Air Zoom FY/OS Black",7,-1,-,negative-to-zero
heal,marathon-pe,p1777897827663,"Nike Air Max DN Grey Black Volt",7,-1,-,negative-to-zero
heal,marathon-pe,p1777898520632,"Nike Air Force 1 Wild Yellow",_,-2,-,negative-to-zero
heal,marathon-pe,p1777898570372,"Nike Air Force 1 Wild Green",7,-2,-,negative-to-zero
heal,marathon-pe,p1777898570372,"Nike Air Force 1 Wild Green",9,-1,-,negative-to-zero
heal,marathon-pe,p1777898570372,"Nike Air Force 1 Wild Green",_,-1,-,negative-to-zero
heal,marathon-pe,p1777899208507,"Nike Zoom Vomero Roam Mint Green",7,-1,-,negative-to-zero
heal,marathon-pe,p1777899303487,"Nike Air Max 95 Greedy Orange",_,-1,-,negative-to-zero
heal,marathon-pe,p1777899708156,"Nike Air Max 95 Black",_,-1,-,negative-to-zero
heal,marathon-pe,p1777899766317,"Nike Air Max 95 Greige Charcoal",8,-2,-,negative-to-zero
heal,marathon-pe,p1777901852685,"Air Jordan 4 Retro Black Cat",3,-1,-,negative-to-zero
heal,marathon-pe,p1777901852685,"Air Jordan 4 Retro Black Cat",6,-1,-,negative-to-zero
heal,marathon-pe,p1777902692033,"Nike Shox R4 Black White",10,-1,-,negative-to-zero
heal,marathon-pe,p1777902966177,"Nike Road Racing Black White",_,-1,-,negative-to-zero
heal,marathon-pe,p1777903744143,"Nike Zoomx Invincible Run Flyknit Black",8,-1,-,negative-to-zero
heal,marathon-pe,p1777903982167,"Air Jordan 1 Low Vibrant Pink White",4,-1,-,negative-to-zero
heal,marathon-pe,p1777903982167,"Air Jordan 1 Low Vibrant Pink White",5,-1,-,negative-to-zero
heal,marathon-pe,p1777903982167,"Air Jordan 1 Low Vibrant Pink White",_,-1,-,negative-to-zero
heal,marathon-pe,p1777904061544,"Air Jordan 1 Low Wolf Grey",9,-1,-,negative-to-zero
heal,marathon-pe,p1777904316300,"Air Jordan 1 Low Black Grey",4,-2,-,negative-to-zero
heal,marathon-pe,p1777904316300,"Air Jordan 1 Low Black Grey",5,-1,-,negative-to-zero
heal,marathon-pe,p1777904316300,"Air Jordan 1 Low Black Grey",_,-1,-,negative-to-zero
heal,marathon-pe,p1777904630224,"Air Jordan 1 Low Blue Whisper and Dune Red",4,-1,-,negative-to-zero
heal,marathon-pe,p1777904630224,"Air Jordan 1 Low Blue Whisper and Dune Red",5,-1,-,negative-to-zero
heal,marathon-pe,p1777904630224,"Air Jordan 1 Low Blue Whisper and Dune Red",6,-1,-,negative-to-zero
heal,marathon-pe,p1777904630224,"Air Jordan 1 Low Blue Whisper and Dune Red",5_5,-1,-,negative-to-zero
heal,marathon-pe,p1777905316546,"Nike Air Max Scorpion Full Black",9,-1,-,negative-to-zero
heal,marathon-pe,p1777905466361,"Air Jordan 1 Low Zion Williamson Brown and Green",6,-1,-,negative-to-zero
heal,marathon-pe,p1777905466361,"Air Jordan 1 Low Zion Williamson Brown and Green",7,-3,-,negative-to-zero
heal,marathon-pe,p1777905466361,"Air Jordan 1 Low Zion Williamson Brown and Green",9,-1,-,negative-to-zero
heal,marathon-pe,p1777905466361,"Air Jordan 1 Low Zion Williamson Brown and Green",10,-1,-,negative-to-zero
heal,marathon-pe,p1777905466361,"Air Jordan 1 Low Zion Williamson Brown and Green",11,-1,-,negative-to-zero
heal,marathon-pe,p1777905519106,"Nike Air Max 270 Triple Black",8,-1,-,negative-to-zero
heal,marathon-pe,p1777905519106,"Nike Air Max 270 Triple Black",9,-1,-,negative-to-zero
heal,marathon-pe,p1777905781470,"Nike Zoomx Vaporfly Next 2 Black Cream",7,-1,-,negative-to-zero
heal,marathon-pe,p1777905979574,"Nike Air Max DN 2 White Pink",4,-1,-,negative-to-zero
heal,marathon-pe,p1777905979574,"Nike Air Max DN 2 White Pink",5_5,-1,-,negative-to-zero
heal,marathon-pe,p1777906258419,"Nike Air Max DN2 Black Orange",3,-1,-,negative-to-zero
heal,marathon-pe,p1777906347653,"Nike Versair White",7,-1,-,negative-to-zero
heal,marathon-pe,p1777906494244,"Nike Air Force 1 Low Chocolate",7,-1,-,negative-to-zero
heal,marathon-pe,p1777906553465,"Nike Air Force 1 White Green Year Of The Snake",8,-1,-,negative-to-zero
heal,marathon-pe,p1777906839698,"Nike Air Force 1 '07 LV8 White Midnight Navy Gum",6,-1,-,negative-to-zero
heal,marathon-pe,p1777906839698,"Nike Air Force 1 '07 LV8 White Midnight Navy Gum",7,-1,-,negative-to-zero
heal,marathon-pe,p1777906839698,"Nike Air Force 1 '07 LV8 White Midnight Navy Gum",9,-2,-,negative-to-zero
heal,marathon-pe,p1777906839698,"Nike Air Force 1 '07 LV8 White Midnight Navy Gum",_,-1,-,negative-to-zero
heal,marathon-pe,p1777966616806,"Nike Free Metcon Black White",9,-1,-,negative-to-zero
heal,marathon-pe,p1777966912596,"On Cloudzone White Navy",6,-1,-,negative-to-zero
heal,marathon-pe,p1777968857195,"Nike Air Max SNDR Canyon Gold",_,-1,-,negative-to-zero
heal,marathon-pe,p1777968964541,"Nike Air Max SNDR GORE-TEX Black",4,-1,-,negative-to-zero
heal,marathon-pe,p1777970045917,"Nike Waffle Racer Black White Volt",5,-1,-,negative-to-zero
heal,marathon-pe,p1777970668766,"Nike Waffle Debut Pink White",3,-1,-,negative-to-zero
heal,marathon-pe,p1777971497846,"On Cloud X 4 Black",_,-1,-,negative-to-zero
heal,marathon-pe,p1777971508405,"On Cloud Horizon 2 Black",_,-1,-,negative-to-zero
heal,marathon-pe,p1777971580042,"On Cloud 6 Navy White",5,-1,-,negative-to-zero
heal,marathon-pe,p1777971580042,"On Cloud 6 Navy White",7,-1,-,negative-to-zero
heal,marathon-pe,p1777971580042,"On Cloud 6 Navy White",8,-1,-,negative-to-zero
heal,marathon-pe,p1777971607774,"On Cloudhorizon 2 Green",7,-1,-,negative-to-zero
heal,marathon-pe,p1777973102966,"Adidas Adizero Adios Pro 4 Black",_,-1,-,negative-to-zero
heal,marathon-pe,p1777973167602,"Adidas Adizero Adios Pro White Purple",_,-1,-,negative-to-zero
heal,marathon-pe,p1777973244588,"On Cloudtilt White Pink Black",_,-1,-,negative-to-zero
heal,marathon-pe,p1777973467155,"On Cloudtilt White",5_5,-1,-,negative-to-zero
heal,marathon-pe,p1777973556967,"On Cloudpulse Pink Red",4,-1,-,negative-to-zero
